=~=~=~=~=~=~=~=~=~=~=~=;PuTTY;log;2023.02.14;11:54:48;=~=~=~=~=~=~=~=~=~=~=~=
A0;A1;A2;;;
2.63;3.01;0.34;;;
;;;;;
2.63;3.01;0.34;;;
;;;;;
2.63;3.01;0.34;;;
;;;;;
2.63;3;0.34;;;
;;;;;
2.63;3;0.34;;;
;;;;;
2.63;3.01;0.34;;;
;;;;;
2.63;3;0.34;;;
;;;;;
2.63;3.01;0.34;;;
;;;;;
2.63;3.02;0.34;;;
;;;;;
2.63;3.02;0.34;;;
;;;;;
2.62;3.01;0.34;;;
;;;;;
2.62;3.01;0.34;;;
;;;;;
2.62;3.01;0.33;;;
;;;;;
2.62;3.01;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;3.01;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;3;0.34;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.34;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.62;3;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.62;2.99;0.33;;;
;;;;;
2.61;2.99;0.33;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.98;0.33;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.33;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.33;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.33;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.99;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.98;0.32;;;
;;;;;
2.61;2.97;0.32;;;
;;;;;
2.6;2.97;0.32;;;
;;;;;
2.6;2.97;0.32;;;
;;;;;
2.6;2.97;0.32;;;
;;;;;
2.6;2.97;0.31;;;
;;;;;
2.6;2.97;0.31;;;
;;;;;
2.61;2.97;0.32;;;
;;;;;
2.61;2.97;0.32;;;
;;;;;
2.61;2.97;0.32;;;
;;;;;
2.6;2.97;0.32;;;
;;;;;
2.6;2.97;0.32;;;
;;;;;
2.6;2.96;0.32;;;
;;;;;
2.6;2.96;0.32;;;
;;;;;
2.6;2.96;0.31;;;
;;;;;
2.6;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.97;0.31;;;
;;;;;
2.6;2.96;0.32;;;
;;;;;
2.6;2.97;0.31;;;
;;;;;
2.6;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.6;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.58;2.95;0.31;;;
;;;;;
2.58;2.95;0.3;;;
;;;;;
2.58;2.95;0.3;;;
;;;;;
2.59;2.95;0.31;;;
;;;;;
2.59;2.96;0.31;;;
;;;;;
2.59;2.97;0.3;;;
;;;;;
2.59;2.97;0.31;;;
;;;;;
2.59;2.97;0.31;;;
;;;;;
2.59;2.97;0.31;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.31;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.97;0.3;;;
;;;;;
2.58;2.97;0.3;;;
;;;;;
2.58;2.97;0.31;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.57;2.96;0.3;;;
;;;;;
2.57;2.96;0.3;;;
;;;;;
2.57;2.96;0.3;;;
;;;;;
2.58;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.58;2.96;0.3;;;
;;;;;
2.57;2.96;0.3;;;
;;;;;
2.58;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.29;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.29;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.95;0.29;;;
;;;;;
2.57;2.95;0.3;;;
;;;;;
2.57;2.94;0.3;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.57;2.94;0.3;;;
;;;;;
2.56;2.94;0.3;;;
;;;;;
2.57;2.94;0.29;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.57;2.94;0.29;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.57;2.94;0.29;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.57;2.94;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.55;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.94;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.93;0.29;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.55;2.93;0.29;;;
;;;;;
2.56;2.93;0.29;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.55;2.93;0.29;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.54;2.92;0.29;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.54;2.92;0.28;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.55;2.92;0.29;;;
;;;;;
2.55;2.92;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.55;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.53;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.91;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.54;2.9;0.27;;;
;;;;;
2.53;2.9;0.28;;;
;;;;;
2.53;2.9;0.28;;;
;;;;;
2.53;2.89;0.28;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.53;2.9;0.28;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.53;2.9;0.27;;;
;;;;;
2.54;2.9;0.28;;;
;;;;;
2.53;2.9;0.27;;;
;;;;;
2.53;2.9;0.28;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.52;2.89;0.27;;;
;;;;;
2.52;2.89;0.27;;;
;;;;;
2.52;2.89;0.27;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.52;2.89;0.27;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.53;2.89;0.27;;;
;;;;;
2.52;2.89;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.26;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.26;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.26;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.52;2.88;0.26;;;
;;;;;
2.51;2.87;0.26;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.52;2.88;0.26;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.51;2.87;0.26;;;
;;;;;
2.51;2.88;0.27;;;
;;;;;
2.51;2.87;0.27;;;
;;;;;
2.51;2.87;0.27;;;
;;;;;
2.52;2.87;0.26;;;
;;;;;
2.52;2.87;0.26;;;
;;;;;
2.51;2.87;0.27;;;
;;;;;
2.52;2.88;0.27;;;
;;;;;
2.52;2.87;0.26;;;
;;;;;
2.53;2.87;0.26;;;
;;;;;
2.53;2.87;0.26;;;
;;;;;
2.53;2.87;0.26;;;
;;;;;
2.51;2.87;0.26;;;
;;;;;
2.51;2.87;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.51;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.51;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.51;2.87;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.87;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.85;0.26;;;
;;;;;
2.5;2.85;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.5;2.86;0.26;;;
;;;;;
2.52;2.86;0.26;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.84;0.26;;;
;;;;;
2.5;2.84;0.26;;;
;;;;;
2.51;2.84;0.25;;;
;;;;;
2.5;2.84;0.26;;;
;;;;;
2.5;2.85;0.25;;;
;;;;;
2.51;2.85;0.26;;;
;;;;;
2.51;2.84;0.25;;;
;;;;;
2.51;2.84;0.25;;;
;;;;;
2.51;2.85;0.25;;;
;;;;;
2.51;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.83;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.48;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.84;0.25;;;
;;;;;
2.5;2.83;0.25;;;
;;;;;
2.5;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.5;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.48;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.25;;;
;;;;;
2.49;2.83;0.24;;;
;;;;;
2.48;2.83;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.83;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.83;0.24;;;
;;;;;
2.48;2.83;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.47;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.81;0.24;;;
;;;;;
2.48;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.48;2.82;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.23;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.81;0.24;;;
;;;;;
2.47;2.8;0.24;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.46;2.8;0.23;;;
;;;;;
2.46;2.79;0.24;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.47;2.8;0.23;;;
;;;;;
2.47;2.8;0.24;;;
;;;;;
2.47;2.8;0.24;;;
;;;;;
2.47;2.8;0.23;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.46;2.79;0.24;;;
;;;;;
2.46;2.8;0.24;;;
;;;;;
2.46;2.79;0.24;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.46;2.8;0.23;;;
;;;;;
2.46;2.8;0.23;;;
;;;;;
2.46;2.8;0.23;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.46;2.8;0.23;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.46;2.79;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.45;2.79;0.23;;;
;;;;;
2.45;2.78;0.23;;;
;;;;;
2.44;2.78;0.23;;;
;;;;;
2.44;2.78;0.23;;;
;;;;;
2.44;2.78;0.22;;;
;;;;;
2.44;2.78;0.22;;;
;;;;;
2.44;2.78;0.22;;;
;;;;;
2.44;2.78;0.23;;;
;;;;;
2.44;2.78;0.22;;;
;;;;;
2.44;2.78;0.23;;;
;;;;;
2.44;2.77;0.23;;;
;;;;;
2.44;2.78;0.23;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.44;2.77;0.23;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.43;2.77;0.23;;;
;;;;;
2.43;2.77;0.22;;;
;;;;;
2.44;2.77;0.23;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.44;2.77;0.23;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.44;2.77;0.22;;;
;;;;;
2.43;2.76;0.23;;;
;;;;;
2.43;2.76;0.23;;;
;;;;;
2.43;2.76;0.23;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.77;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.23;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.75;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.75;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.43;2.76;0.22;;;
;;;;;
2.42;2.76;0.22;;;
;;;;;
2.43;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.42;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.42;2.74;0.22;;;
;;;;;
2.42;2.75;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.42;2.74;0.22;;;
;;;;;
2.42;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.73;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.4;2.73;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.73;0.22;;;
;;;;;
2.41;2.73;0.22;;;
;;;;;
2.41;2.74;0.22;;;
;;;;;
2.41;2.73;0.22;;;
;;;;;
2.4;2.73;0.22;;;
;;;;;
2.4;2.72;0.22;;;
;;;;;
2.41;2.73;0.22;;;
;;;;;
2.4;2.73;0.22;;;
;;;;;
2.4;2.73;0.22;;;
;;;;;
2.4;2.73;0.22;;;
;;;;;
2.4;2.73;0.21;;;
;;;;;
2.39;2.73;0.21;;;
;;;;;
2.39;2.73;0.21;;;
;;;;;
2.4;2.73;0.21;;;
;;;;;
2.4;2.73;0.21;;;
;;;;;
2.4;2.72;0.22;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.22;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.22;;;
;;;;;
2.4;2.72;0.22;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.4;2.72;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.72;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.72;0.21;;;
;;;;;
2.4;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.4;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.71;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.38;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.39;2.7;0.21;;;
;;;;;
2.38;2.7;0.2;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.2;;;
;;;;;
2.38;2.7;0.2;;;
;;;;;
2.38;2.7;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.2;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.37;2.68;0.21;;;
;;;;;
2.38;2.69;0.2;;;
;;;;;
2.38;2.69;0.2;;;
;;;;;
2.38;2.69;0.2;;;
;;;;;
2.38;2.69;0.21;;;
;;;;;
2.38;2.68;0.2;;;
;;;;;
2.38;2.68;0.2;;;
;;;;;
2.37;2.68;0.21;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.68;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.37;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.36;2.67;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.35;2.66;0.2;;;
;;;;;
2.35;2.66;0.2;;;
;;;;;
2.35;2.66;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.66;0.19;;;
;;;;;
2.35;2.66;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.36;2.66;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.19;;;
;;;;;
2.34;2.65;0.19;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.65;0.2;;;
;;;;;
2.35;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.2;;;
;;;;;
2.34;2.65;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.2;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.34;2.63;0.19;;;
;;;;;
2.34;2.64;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.63;0.19;;;
;;;;;
2.33;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.33;2.62;0.19;;;
;;;;;
2.32;2.63;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
2.32;2.62;0.19;;;
;;;;;
