=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.03.23 10:29:19 =~=~=~=~=~=~=~=~=~=~=~=
 A0  A1  A2
0.30 0.21 0.28
 
0.30 0.21 0.28
 
0.30 0.21 0.26
 
0.30 0.21 0.24
 
0.30 0.21 0.24
 
0.30 0.21 0.23
 
0.30 0.21 0.23
 
0.30 0.21 0.23
 
0.30 0.21 0.24
 
0.30 0.21 0.23
 
0.30 0.21 0.23
 
0.30 0.21 0.24
 
0.30 0.21 0.23
 
0.30 0.21 0.23
 
0.30 0.20 0.23
 
0.30 0.21 0.24
 
0.30 0.20 0.24
 
0.30 0.21 0.24
 
0.30 0.20 0.24
 
0.30 0.20 0.24
 
0.30 0.20 0.24
 
0.30 0.20 0.25
 
0.30 0.20 0.24
 
0.30 0.20 0.24
 
0.31 0.20 0.25
 
0.30 0.20 0.25
 
0.30 0.20 0.25
 
0.30 0.20 0.26
 
0.31 0.20 0.27
 
0.30 0.20 0.26
 
0.30 0.20 0.28
 
0.30 0.20 0.27
 
0.30 0.20 0.27
 
0.30 0.20 0.28
 
0.30 0.19 0.27
 
0.30 0.19 0.27
 
0.30 0.20 0.28
 
0.30 0.20 0.27
 
0.30 0.19 0.27
 
0.30 0.20 0.28
 
0.30 0.19 0.27
 
0.30 0.19 0.27
 
0.30 0.19 0.26
 
0.30 0.19 0.26
 
0.30 0.19 0.24
 
0.30 0.19 0.25
 
0.30 0.19 0.25
 
0.30 0.19 0.26
 
0.30 0.19 0.26
 
0.31 0.19 0.24
 
0.30 0.19 0.25
 
0.30 0.19 0.26
 
0.31 0.19 0.25
 
0.30 0.19 0.25
 
0.30 0.19 0.26
 
0.30 0.19 0.31
 
0.30 0.19 0.31
 
0.30 0.19 0.31
 
0.30 0.19 0.31
 
0.30 0.19 0.30
 
0.30 0.19 0.30
 
0.30 0.19 0.29
 
0.31 0.19 0.30
 
0.30 0.19 0.27
 
0.30 0.19 0.30
 
0.31 0.19 0.28
 
0.31 0.19 0.27
 
0.31 0.19 0.27
 
0.30 0.19 0.27
 
0.30 0.19 0.26
 
0.30 0.19 0.27
 
0.31 0.19 0.27
 
0.30 0.19 0.27
 
0.30 0.19 0.27
 
0.31 0.19 0.29
 
0.31 0.19 0.29
 
0.30 0.19 0.29
 
0.30 0.19 0.29
 
0.30 0.19 0.29
 
0.31 0.19 0.29
 
0.30 0.19 0.29
 
0.30 0.19 0.29
 
0.31 0.19 0.30
 
0.30 0.19 0.29
 
0.31 0.19 0.29
 
0.30 0.19 0.28
 
0.31 0.19 0.28
 
0.31 0.19 0.28
 
0.30 0.19 0.29
 
0.30 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.32
 
0.30 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.32
 
0.31 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.33
 
0.30 0.19 0.32
 
0.31 0.20 0.32
 
0.31 0.19 0.31
 
0.31 0.20 0.31
 
0.31 0.19 0.31
 
0.31 0.19 0.32
 
0.31 0.19 0.31
 
0.30 0.20 0.31
 
0.30 0.19 0.32
 
0.31 0.19 0.32
 
0.31 0.20 0.41
 
0.31 0.19 0.32
 
0.31 0.20 0.32
 
0.31 0.20 0.31
 
0.31 0.19 0.29
 
0.31 0.20 0.29
 
0.31 0.19 0.30
 
0.31 0.20 0.30
 
0.31 0.20 0.30
 
0.31 0.19 0.30
 
0.31 0.20 0.30
 
0.31 0.20 0.30
 
0.31 0.19 0.30
 
0.30 0.20 0.31
 
0.31 0.19 0.32
 
0.31 0.19 0.31
 
0.31 0.20 0.33
 
0.31 0.19 0.32
 
0.31 0.19 0.33
 
0.30 0.19 0.33
 
0.31 0.19 0.34
 
0.31 0.20 0.33
 
0.31 0.20 0.34
 
0.31 0.19 0.34
 
0.31 0.19 0.34
 
0.30 0.20 0.35
 
0.31 0.19 0.36
 
0.31 0.19 0.38
 
0.31 0.20 0.45
 
0.31 0.20 0.29
 
0.31 0.20 0.29
 
0.31 0.20 0.28
 
0.31 0.20 0.28
 
0.31 0.19 0.28
 
0.30 0.19 0.29
 
0.31 0.20 0.31
 
0.31 0.20 0.30
 
0.31 0.20 0.29
 
0.30 0.20 0.28
 
0.31 0.19 0.29
 
0.30 0.19 0.29
 
0.31 0.20 0.29
 
0.31 0.20 0.30
 
0.31 0.19 0.31
 
0.31 0.20 0.31
 
0.30 0.19 0.31
 
0.30 0.20 0.31
 
0.31 0.20 0.31
 
0.30 0.19 0.31
 
0.31 0.20 0.33
 
0.30 0.20 0.37
 
0.31 0.20 0.36
 
0.31 0.20 0.35
 
0.30 0.20 0.38
 
0.31 0.20 0.36
 
0.30 0.20 0.36
 
0.30 0.20 0.35
 
0.31 0.20 0.37
 
0.31 0.20 0.35
 
0.30 0.20 0.32
 
0.30 0.20 0.34
 
0.30 0.20 0.36
 
0.31 0.20 0.39
 
0.30 0.20 0.38
 
0.31 0.20 0.36
 
0.30 0.20 0.35
 
0.31 0.20 0.35
 
0.31 0.20 0.36
 
0.31 0.19 0.37
 
0.31 0.20 0.36
 
0.31 0.19 0.36
 
0.31 0.19 0.37
 
0.31 0.20 0.38
 
0.31 0.20 0.40
 
0.30 0.20 0.37
 
0.30 0.20 0.36
 
0.31 0.20 0.36
 
0.31 0.20 0.35
 
0.31 0.20 0.35
 
0.30 0.20 0.36
 
0.31 0.20 0.36
 
0.31 0.20 0.36
 
0.31 0.19 0.39
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.19 0.37
 
0.31 0.20 0.37
 
0.31 0.20 0.36
 
0.31 0.19 0.37
 
0.31 0.20 0.37
 
0.31 0.20 0.38
 
0.31 0.20 0.38
 
0.31 0.20 0.39
 
0.31 0.20 0.39
 
0.31 0.19 0.38
 
0.31 0.19 0.40
 
0.31 0.20 0.39
 
