=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.04.27 09:17:35 =~=~=~=~=~=~=~=~=~=~=~=

A0  A1  A2
 
0.03 0.00 1.38
 
3.12 3.64 4.20
 
4.59 4.50 0.39
 
0.48 0.30 0.39
 
0.48 0.33 0.39
 
0.48 0.36 0.39
 
0.48 0.36 0.38
 
0.48 0.33 0.39
 
0.48 0.33 0.38
 
0.48 0.33 0.45
 
0.49 0.37 0.46
 
0.49 0.41 1.88
 
3.41 3.93 4.07
 
0.49 0.33 0.41
 
0.50 0.32 0.41
 
0.49 0.32 0.41
 
0.48 0.32 0.41
 
0.49 0.32 0.40
 
0.49 0.35 0.41
 
0.49 0.32 0.40
 
0.49 0.33 0.40
 
0.50 0.33 0.41
 
0.49 0.33 0.41
 
0.49 0.34 0.41
 
0.49 0.33 0.41
 
0.49 0.35 0.40
 
0.50 0.38 0.40
 
0.50 0.38 0.40
 
0.49 0.37 0.40
 
0.49 0.37 0.40
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.47 0.37 0.39
 
0.49 0.37 0.39
 
0.49 0.37 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.38
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.36 0.39
 
0.49 0.35 0.39
 
0.49 0.35 0.38
 
0.49 0.34 0.39
 
0.49 0.33 0.39
 
0.49 0.33 0.39
 
0.49 0.33 0.39
 
0.49 0.33 0.39
 
0.48 0.33 0.39
 
0.49 0.33 0.39
 
0.48 0.33 0.39
 
0.48 0.34 0.39
 
0.49 0.33 0.39
 
0.49 0.32 0.39
 
0.48 0.31 0.39
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.48 0.32 0.39
 
0.48 0.31 0.39
 
0.49 0.31 0.39
 
0.49 0.32 0.39
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.48 0.31 0.39
 
0.49 0.31 0.40
 
0.49 0.31 0.39
 
0.49 0.31 0.39
 
0.48 0.31 0.40
 
0.48 0.31 0.40
 
0.48 0.31 0.40
 
0.49 0.30 0.40
 
0.49 0.30 0.40
 
0.48 0.30 0.40
 
0.48 0.30 0.40
 
0.49 0.30 0.40
 
0.49 0.30 0.40
 
0.49 0.30 0.40
 
0.49 0.30 0.39
 
0.49 0.30 0.39
 
0.49 0.30 0.39
 
0.48 0.30 0.39
 
0.49 0.30 0.39
 
0.49 0.30 0.40
 
0.48 0.30 0.40
 
0.48 0.30 0.39
 
0.48 0.30 0.39
 
0.48 0.30 0.39
 
0.49 0.30 0.39
 
0.48 0.30 0.38
 
0.48 0.30 0.39
 
0.49 0.30 0.39
 
0.49 0.30 0.38
 
0.48 0.30 0.38
 
0.48 0.30 0.39
 
0.48 0.30 0.38
 
0.49 0.30 0.38
 
0.48 0.31 0.38
 
0.49 0.31 0.38
 
0.49 0.30 0.39
 
0.48 0.31 0.38
 
0.48 0.31 0.39
 
0.48 0.30 0.38
 
0.48 0.30 0.39
 
0.48 0.31 0.38
 
0.48 0.31 0.39
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.49 0.30 0.38
 
0.48 0.31 0.38
 
0.49 0.31 0.38
 
0.48 0.31 0.39
 
0.49 0.31 0.39
 
0.48 0.30 0.38
 
0.48 0.31 0.38
 
0.49 0.31 0.39
 
0.49 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.39
 
0.48 0.31 0.39
 
0.49 0.31 0.38
 
0.48 0.31 0.38
 
0.49 0.31 0.38
 
0.49 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.39
 
0.48 0.31 0.38
 
0.49 0.32 0.39
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.32 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.32 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.37
 
0.48 0.31 0.38
 
0.48 0.32 0.37
 
0.48 0.31 0.37
 
0.49 0.31 0.37
 
0.48 0.31 0.37
 
